org_name	matched_agency	confidence
Yavapai County AZ SO	Yavapai County Sheriff's Office	0.95
Miami-Dade FL SO	Miami-Dade Sheriff's Office	0.95
Seminole County FL SO	Seminole County Sheriff's Office	0.95
Santa Rosa County FL SO	Santa Rosa County Sheriff's Office	0.95
Walton County FL SO	Walton County Sheriff's Office	0.95
Escambia County FL SO	Escambia County Sheriff's Office	0.95
Columbia County FL SO	Columbia County Sheriff's Office	0.95
Hillsborough County FL SO	Hillsborough County Sheriff's Office	0.95
Bay County FL SO	Bay County Sheriff's Office	0.95
Wakulla County FL SO	Wakulla County Sheriff's Office	0.95
Palm Beach County FL SO	Palm Beach County Sheriff's Office	0.95
Jacksonville FL SO	Jacksonville Sheriff's Office	0.95
Clearwater FL PD	Clearwater Police Department	0.95
Sarasota FL PD	Sarasota Manatee Airport Authority Police Department	0.95
Palm Bay FL PD	Palm Bay Police Department 	0.95
Tarpon Springs FL PD	Tarpon Springs Police Department	0.95
Lake City FL PD	Lake City Police Department	0.95
Lantana FL PD	Lantana Police Department	0.95
Lady Lake FL PD	Lady Lake Police Department	0.95
Pinellas Park FL PD	Pinellas Park Police Department	0.95
Tampa FL PD	Tampa Police Department	0.95
Coweta County GA SO	Coweta County Sheriff's Office	0.95
Jasper County IN SO	Jasper County Sheriff's Office	0.95
Pottawatomie County KS SO	Pottawatomie County Sheriff's Office	0.95
Coffeyville KS PD	Coffeyville Police Department 	0.95
Lafayette Parish LA SO	Lafayette Parish Sheriff's Office	0.95
Ouachita Parish LA SO	Ouachita Parish Sheriff's Office	0.95
Newton County MS SO	Newton County Sheriff's Department	0.95
Jefferson County MO SO	Jefferson County Sheriff's Office 	0.95
Catawba County NC SO	Catawba County Sheriff's Office	0.95
Brunswick County NC SO	Brunswick County Sheriff's Office	0.95
Avery County NC SO	Avery County Sheriff's Office	0.95
Canadian County OK SO	Canadian County Sheriff's Office	0.95
Greenville County SC SO	Greenville County Sheriff's Office	0.95
Madison County TN SO	Madison County Sheriff's Office	0.95
Lincoln County TN SO	Lincoln County Sheriff's Office 	0.95
Cocke County TN SO	Cocke County Sheriff's Office	0.95
Shelby County TN SO	Shelby County Sheriff's Office 	0.95
Montgomery County TN SO	Montgomery County Sheriff's Office 	0.95
Ward County TX SO	Howard County Sheriff's Office 	0.95
Lamar County TX SO	Lamar County Sheriff's Office 	0.95
Paris TX PD	Paris Police Department 	0.95
Splendora TX PD	Splendora Police Department	0.95
Weber County UT SO	Weber County Sheriff's Office	0.95
Village of Clearview WV PD	Village of Clearview Police Department 	0.95
Washington County WI SO	Washington County Sheriff's Office	0.95